code,signal_date,entry_date,ret10,atr14_pct,dd60_pct,ma25_slope5_pct,avg_turnover20,vol_ratio20,gc_gap_pct,gc_runner_score
6323,2022-03-23,2022-03-24,1.3761467889908285,4.826604554865424,-17.427075542258784,0.2648181322532972,1597329650.0,0.7373622196883315,2.326575001942044,2
6324,2020-04-28,2020-04-30,11.895161290322577,4.5875672444710105,-15.097690941385434,2.2958631145765684,1467301825.0,0.9091055678281762,0.3599407156468448,2
6330,2020-09-11,2020-09-14,1.1695906432748648,4.148845166809239,-16.500000000000004,0.30750307503075724,49225815.0,1.1335607452112306,0.06131207847945852,3
6330,2022-11-24,2022-11-25,-8.92561983471074,2.369106846718787,-15.42776998597476,0.6276294916890857,66071655.0,0.6636074832333215,0.7196710075394019,2
6330,2024-09-24,2024-09-25,7.531380753138084,3.1579996015142457,-19.34758155230596,0.9719774910475598,118599670.0,0.9213051823416507,0.6530060797117931,0
6331,2024-09-19,2024-09-20,0.6951915914921836,2.638770179007813,-18.15862068965517,0.7229985561005625,120288363.0,0.9267179925862561,0.5157949177192478,0
6349,2024-09-19,2024-09-20,1.038062283737018,2.022150323544052,-18.291814946619223,1.3082231167337532,66982120.0,0.8579856721449641,0.16673761884491434,1
6351,2024-09-19,2024-09-20,9.553349875930529,3.5444404462036707,-18.9795918367347,1.559507523939807,71989775.0,2.422037422037422,1.0237068965517349,1
6367,2024-09-25,2024-09-26,4.100529100529093,2.8188504701243553,-19.314775160599574,0.38017696733170236,21418787450.0,1.5853155678471913,1.102694731197218,1
6371,2019-06-25,2019-06-26,2.947145504279547,2.8189223057644104,-17.09090909090909,0.6873517942536767,271554811.5,0.5825001552505744,0.9488112246897717,0
6376,2021-10-11,2021-10-12,5.4247697031729825,2.102973168963017,-15.955631399317404,1.4538558786346245,275586880.0,0.6030964109781843,0.2907580477673921,0
6387,2021-04-28,2021-04-30,-9.852941176470587,2.804621848739496,-16.152897657213316,1.1746374205921173,284799625.0,0.2998537298878596,0.16585712593293334,0
6395,2025-06-02,2025-06-03,0.31023784901758056,1.862938338432573,-18.111298482293414,0.8639666330127804,253265295.0,1.1457689932056825,0.13373590850165318,0
6430,2024-09-19,2024-09-20,0.14184397163119478,3.5508439687114035,-15.776699029126217,1.1513452246018074,281642675.0,0.6238487044086946,0.5543760320830371,2
6440,2019-02-14,2019-02-15,-2.1909233176838794,5.043306654972042,-19.06832298136646,1.4705374710897834,395903235.0,2.0845714285714285,1.5478822929069658,1
6459,2019-02-05,2019-02-06,9.905254091300609,2.6439048440774067,-16.014492753623188,0.3171056898850555,32577500.0,0.8984175599795814,0.54240454039296,2
6460,2021-07-08,2021-07-09,1.5277777777777724,1.7978951471448061,-16.132723112128144,0.9358436395759728,1712497455.0,0.6178854796052207,0.14222027732953002,0
6516,2019-07-24,2019-07-25,-7.038948850305015,3.0482958082341334,-16.040974840997357,0.9954053838892696,350159575.5,1.1428918442946499,0.3851167033109393,0
6517,2019-02-08,2019-02-12,3.158650394831297,2.588895820336868,-18.408551068883604,1.3840127665748048,33233115.0,1.0994544691565253,0.13737049968518544,1
6533,2017-05-23,2017-05-24,3.718439173680177,3.221954425942155,-17.206349206349202,0.6309089090090536,29939732.0,0.9424989191526156,0.06400019883556762,1
6533,2021-06-14,2021-06-15,2.106693849813124,3.2549114722289594,-15.007215007215002,0.32825939417444605,191618350.0,0.7193578264896573,0.019327406262070745,2
6572,2021-06-29,2021-06-30,1.187335092348274,3.0120481927710845,-15.688487584650112,0.8536652530704458,140480340.0,1.7195753360179906,0.043687199650488395,1
6572,2024-10-21,2024-10-22,-3.791469194312791,3.30188679245283,-17.50972762645915,0.3316426063207256,32515725.0,0.7163515016685206,0.7194244604316502,2
6586,2020-04-30,2020-05-01,1.4450867052023142,2.9322240259740258,-18.32946635730859,2.4620465299684646,2049744550.0,1.1622311337951148,1.3830426939266394,0
6586,2025-05-29,2025-05-30,-1.619797525309341,3.1159902417387446,-17.493138151875577,1.3536598952724077,4927476005.0,0.8088084335306037,0.507484015169557,0
6590,2019-02-06,2019-02-07,-2.2240872849349613,3.007202881152462,-17.159763313609467,0.9953767595915153,58439520.0,0.7652596416641361,0.008540438978554832,1
6590,2023-11-09,2023-11-10,-4.679144385026735,4.224376731301939,-19.117235198566064,0.2639895676411763,2288211800.0,1.4226069402174744,0.5594647594878266,2
